trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
2121.2705891086644,0,3,2310.672251955775,55236.05151884986,1,0,0.0
1915.0,0,2,4612.518343580903,15806.411611683672,2,2,72937932.64966957
1399.0,2,4,6532.689975458035,50665.446551126355,1,0,0.0
972.0,0,0,13.391715118968254,6374.163937752323,7,0,0.0
1307.0,0,0,146.33014231855043,25388.79395110873,7,0,0.0
1825.4115637579407,0,3,22184.005084986573,58087.984156002705,1,0,0.0
1154.0,2,4,14.600000381469727,26974.04736193725,6,0,0.0
1824.5499025857782,0,3,938.6899233617169,1015.8905532330762,1,0,0.0
428.39253997719567,2,4,30.0,20042.44647862403,6,0,0.0
2145.3864380091045,2,4,9296.979562892864,83983.77235363849,1,0,0.0
615.1647202127032,2,1,3041.060538902752,44732.476189747256,5,9,81486705.94589487
830.0685801867317,1,4,11416.64000234866,28859.511666287883,1,0,0.0
1558.4084810913453,2,4,9034.857925240043,28318.85944023062,1,0,0.0
649.3806698888333,0,2,4075.7168711844943,17425.536881788874,2,3,39758733.46410292
936.9133878196067,2,4,2108.4097492005976,31767.7495326937,1,0,0.0
1794.0,2,4,11964.028493808379,32280.904972860313,1,0,0.0
1717.1706675554647,0,0,375.6684248935419,92235.75238794279,7,0,0.0
1976.0,2,4,14655.142122461306,69166.85920275107,1,0,0.0
1875.7247245973906,2,4,14.600000381469727,16075.179128723339,6,0,0.0
1976.0,2,4,31866.83056531236,23921.747035460965,1,0,0.0
1775.6946141067237,0,3,47720.30578182742,119498.99946118836,1,0,0.0
2037.0,0,2,3679.063462499846,34003.61235421705,1,1,82372035.47430147
2109.2470491545373,2,4,6994.2574890218075,44218.15238793877,1,0,0.0
998.817280989396,2,1,6871.100496681952,34000.5461812204,3,6,39404015.40016069
1519.0,2,1,397.1158476960947,29979.052410547192,0,8,19453723.172768474
1412.6810873038135,2,4,11367.44907351692,19071.524358078434,1,0,0.0
1733.2320446557217,0,3,3026.3148237363284,46057.39013653945,1,0,0.0
1785.4052914764025,2,4,14.600000381469727,52308.784562171764,6,0,0.0
1468.475780405496,2,4,14.600000381469727,32259.728493041483,6,0,0.0
1463.9510056349952,2,4,14.600000381469727,16130.242080351854,6,0,0.0
857.4093943762525,2,4,7473.081608017781,29169.490393908407,1,0,0.0
1215.0,2,4,14.600000381469727,25649.788721301113,6,0,0.0
1104.8771613733431,2,4,61121.41733162982,48569.556919171424,1,0,0.0
1945.0,2,4,14.600000381469727,16311.576340869547,6,0,0.0
2016.1924058819186,0,3,20673.00949047194,39113.65546406119,1,0,0.0
1916.316183986766,2,4,14.600000381469727,29752.242117191043,6,0,0.0
1282.3929028900718,0,3,17495.53101280412,60470.11885282608,1,0,0.0
1311.9946461525244,2,1,3300.2114575512737,28978.066691064876,5,9,15426935.55098679
2190.0,0,0,332.6857494034578,85140.47502446407,7,0,0.0
2139.9884873337573,2,1,184.80433306169294,14589.766639020723,5,8,60808216.2996575
1429.0,0,3,11431.8803592859,50399.553106930194,1,0,0.0
2067.307458998991,2,1,2234.058604272136,20941.68652783624,0,12,17359637.200360868
1636.064776272621,2,4,14.600000381469727,13267.86844867062,6,0,0.0
793.0057434462886,2,1,101.39128853164614,18873.551127880633,0,11,69829702.75087921
2117.546296983931,0,3,10854.678519676529,30738.682312317826,1,0,0.0
428.1123444828617,0,0,130.07339877262123,30065.55038040119,7,0,0.0
1711.4376728809934,2,4,14.600000381469727,17249.949956926015,6,0,0.0
417.6913532748372,2,1,3000.0,21696.38669595148,5,5,11040356.816368114
1374.0142942056,2,4,8698.557495109477,46495.21832186174,1,0,0.0
270.12143679645516,2,4,19404.727091060722,47461.61438880358,1,0,0.0
1862.8491372441886,2,1,2757.8055133584203,13831.80530997027,5,2,9944564.929017467
2034.0690808891475,2,1,1900.0,21122.263810344928,1,11,37725496.88865187
1036.2772678301396,2,1,6593.665413470069,30429.449765767025,5,5,70483216.51250975
1137.8990481525161,0,2,4513.868260751531,22623.57969347183,2,2,87972232.84904797
1436.3909288468105,2,4,10721.43709691762,865.5340043707178,1,0,0.0
1175.4679077818091,0,2,3200.0199680307455,26546.67463477861,1,12,93102699.55831097
1460.0,0,0,237.3770106746182,43310.84437153549,7,0,0.0
1733.0,0,3,48426.65365833227,70424.14961974144,1,0,0.0
1063.0,0,2,38104.28583828433,70460.89741498748,1,9,78195435.84078611
