trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
473489,1611,1706,0,3,700.0,37989.8,1,0,0
177112,597,1298,2,4,11900.0,18621.6,1,0,0
1094466,3743,1532,0,3,20890.0,30758.3,1,0,0
493809,1684,1123,2,4,2400.0,43475.2,1,0,0
449005,1527,1380,2,1,4557.2,51875.3,8,3,27702808
2648783,8759,1070,2,4,35500.0,75288.1,1,0,0
1045378,3575,1929,2,1,5070.0,30941.6,5,5,97652846
3094561,10266,1207,0,3,17457.0,20868.1,1,0,0
2751161,9104,1310,2,4,50800.0,72587.1,1,0,0
321044,1097,1808,2,4,11600.0,55249.6,1,0,0
617609,2107,1588,0,3,10588.0,40432.2,1,0,0
451466,1535,315,0,3,4136.0,24601.8,1,0,0
144153,484,2166,0,3,14114.0,29527.7,1,0,0
479045,1632,1827,2,4,31000.0,66466.4,1,0,0
938496,3202,2042,0,2,4837.0,26567.8,2,13,8315533
31278,101,1434,2,1,855.0,33158.0,0,4,26152324
14685,48,1813,2,4,2080.0,49022.5,1,0,0
3227861,10711,1976,2,4,14.6,65467.7,6,0,0
3544308,415,637,0,0,132.7,29701.1,7,0,0
392551,1334,1813,2,4,6500.0,26566.0,1,0,0
3681201,19,1825,0,0,60.7,11134.7,7,0,0
2912848,9646,1832,0,3,42317.0,46815.1,1,0,0
823288,2804,1684,0,3,6263.0,44795.0,1,0,0
536475,1827,528,0,2,4753.0,27874.0,2,4,36155593
718144,2460,2081,0,3,6924.0,59387.3,1,0,0
1787349,6062,1662,2,4,10800.0,57079.5,1,0,0
119493,401,1739,0,3,12817.0,35588.1,1,0,0
1030310,3520,1117,2,4,5100.0,21489.9,1,0,0
456661,1552,797,0,3,24563.0,63414.4,1,0,0
341783,1160,2014,0,2,28420.0,62645.5,1,13,84825235
3437503,419,698,0,0,108.4,26928.3,7,0,0
1082161,3696,2013,0,3,22378.0,71850.4,1,0,0
746485,2546,946,2,4,28100.0,52255.8,1,0,0
770261,2628,576,2,4,100.0,33170.2,6,0,0
3451499,5213,1672,0,0,130.2,33788.4,7,0,0
600070,2043,1060,0,3,400.0,400.0,1,0,0
1097084,3748,2129,2,4,14.6,19278.5,6,0,0
172430,577,1764,2,4,14.6,50591.2,6,0,0
672070,2295,1639,0,3,37628.0,67671.4,1,0,0
1108779,3786,251,2,4,33000.0,83036.0,1,0,0
966091,3292,587,2,1,3170.0,18186.0,5,9,24686056
714201,2441,2037,2,4,14.6,24195.3,6,0,0
166921,558,1291,0,3,5900.0,15136.0,1,0,0
3557033,816,637,0,0,313.1,62652.9,7,0,0
67449,225,677,0,3,5078.0,26728.8,1,0,0
3554467,728,1825,0,0,92.5,19808.6,7,0,0
50102,168,1799,0,2,3020.0,20986.0,1,4,86771827
657146,2245,1154,2,4,14.6,103389.7,6,0,0
3636040,3197,1856,0,0,103.6,24417.2,7,0,0
1231021,4214,1465,2,4,5100.0,78632.1,1,0,0
180644,612,1845,2,4,210.0,12766.9,1,0,0
3628609,2964,2006,0,0,111.8,17446.2,7,0,0
232198,790,2061,2,4,3400.0,25485.5,1,0,0
3602325,2184,1825,0,0,247.9,59524.3,7,0,0
659839,2252,1976,2,4,14.6,21936.8,6,0,0
3623280,2809,1550,0,0,179.6,37922.8,7,0,0
409094,1393,1625,0,3,11821.5,32989.5,1,0,0
105647,360,1460,2,4,14.6,54505.0,6,0,0
58054,194,1528,2,1,2648.0,29435.6,5,2,39405787
796706,2713,607,2,4,1200.0,26917.6,1,0,0
950938,3241,2129,2,4,14.6,70748.8,6,0,0
3085132,10233,1563,2,1,4260.0,43695.7,0,7,69788956
3531889,43,1429,0,0,235.5,53519.8,7,0,0
156896,524,1856,2,4,14.6,38154.7,6,0,0
1024961,3499,1794,2,4,14.6,54093.6,6,0,0
201992,686,2143,2,1,2875.0,19842.4,0,8,92192554
893450,3045,2118,2,4,6200.0,16319.7,1,0,0
1291113,4413,591,2,4,10800.0,24819.5,1,0,0
89179,300,1854,2,5,1000.0,44947.7,1,0,0
141689,474,1563,0,2,3451.0,24734.8,1,3,1879376
2308118,7614,1818,2,4,38100.0,62795.5,1,0,0
3508301,9153,1856,0,0,138.2,32796.6,7,0,0
653864,2236,1776,2,4,15300.0,9372.3,5,0,0
3462708,2573,2129,0,0,314.6,39414.7,7,0,0
3037114,10068,1765,2,4,37500.0,67859.4,1,0,0
229312,780,1717,0,3,20219.0,48753.0,1,0,0
402975,1372,1246,2,4,14.6,36684.8,6,0,0
551133,1877,1776,2,1,1198.0,36627.8,5,1,71872693
